Modelo,Acurácia,Precisão,Recall,F1-score
Ramdom forest,0.9555555555555556,0.9614814814814815,0.9555555555555556,0.9558356676003734
SVC,0.9555555555555556,0.9614814814814815,0.9555555555555556,0.9558356676003734
Regressão logística,0.9555555555555556,0.9614814814814815,0.9555555555555556,0.9558356676003734
Árvore de decisão,0.9555555555555556,0.9614814814814815,0.9555555555555556,0.9558356676003734
KNeighbors,0.9555555555555556,0.9614814814814815,0.9555555555555556,0.9558356676003734
